row,pot,mass,ber,fungus,cracking,penetrometer,sugar_avg,date_harvest,date_analysis,treatment,transplantation,germination,fruit,daysfromharvesttoanalysis,daysfromgermination,plant,ripeness,sugar_grams
A,5,138.1,FALSE,FALSE,FALSE,1,6.4,2024-08-09T00:00:00Z,2024-08-14T00:00:00Z,Control,FALSE,FALSE,1,5,105,A5,0.77,8.8384
A,9,230,FALSE,FALSE,FALSE,1,6.7,2024-08-09T00:00:00Z,2024-08-14T00:00:00Z,Control,FALSE,FALSE,1,5,105,A9,0.77,15.41
A,7,228.3,FALSE,FALSE,FALSE,1,7.1,2024-08-09T00:00:00Z,2024-08-14T00:00:00Z,Control,FALSE,FALSE,1,5,105,A7,0.77,16.2093
D,9,329.2,FALSE,FALSE,FALSE,0.8,6.4,2024-08-09T00:00:00Z,2024-08-14T00:00:00Z,Germ+Trans,TRUE,TRUE,1,5,105,D9,0.8200000000000001,21.0688
B,9,178.4,FALSE,FALSE,FALSE,1.2,6.7,2024-08-09T00:00:00Z,2024-08-14T00:00:00Z,Transplantation,TRUE,FALSE,1,5,105,B9,0.73,11.952800000000002
B,1,264.8,FALSE,FALSE,FALSE,0.5,5.5,2024-08-09T00:00:00Z,2024-08-14T00:00:00Z,Transplantation,TRUE,FALSE,1,5,105,B1,0.89,14.564
D,9,325.1,FALSE,FALSE,FALSE,0.8,6.8,2024-08-09T00:00:00Z,2024-08-14T00:00:00Z,Germ+Trans,TRUE,TRUE,1,5,105,D9,0.8200000000000001,22.106800000000003
A,1,300.8,FALSE,FALSE,FALSE,0.4,6.1,2024-08-09T00:00:00Z,2024-08-14T00:00:00Z,Control,FALSE,FALSE,1,5,105,A1,0.91,18.3488
A,11,255.5,FALSE,FALSE,TRUE,1,6,2024-08-09T00:00:00Z,2024-08-14T00:00:00Z,Control,FALSE,FALSE,1,5,105,A11,0.77,15.33
A,6,252.9,FALSE,FALSE,FALSE,0.7,6.3,2024-08-09T00:00:00Z,2024-08-14T00:00:00Z,Control,FALSE,FALSE,1,5,105,A6,0.84,15.9327
B,2,197.2,FALSE,FALSE,FALSE,0.5,5.4,2024-08-09T00:00:00Z,2024-08-14T00:00:00Z,Transplantation,TRUE,FALSE,1,5,105,B2,0.89,10.648800000000001
A,8,250.2,FALSE,FALSE,FALSE,1.3,5.6,2024-08-09T00:00:00Z,2024-08-14T00:00:00Z,Control,FALSE,FALSE,1,5,105,A8,0.7,14.011199999999999
B,9,311.5,FALSE,FALSE,FALSE,0.8,6.3,2024-08-09T00:00:00Z,2024-08-14T00:00:00Z,Transplantation,TRUE,FALSE,1,5,105,B9,0.8200000000000001,19.6245
B,11,215.1,FALSE,FALSE,FALSE,0.9,7,2024-08-09T00:00:00Z,2024-08-14T00:00:00Z,Transplantation,TRUE,FALSE,1,5,105,B11,0.8,15.057
D,1,256.3,FALSE,FALSE,FALSE,1.2,6.4,2024-08-13T00:00:00Z,2024-08-14T00:00:00Z,Germ+Trans,TRUE,TRUE,1,1,105,D1,0.73,16.403200000000002
D,11,159.5,FALSE,FALSE,FALSE,0.9,6.5,2024-08-13T00:00:00Z,2024-08-14T00:00:00Z,Germ+Trans,TRUE,TRUE,1,1,105,D11,0.8,10.3675
